RaceDay,Driver,LapTime,Position
Day 3,Fernando Alonso,1:19.80,1
Day 3,Kimi Räikkönen,1:19.95,2
Day 3,Michael Schumacher,1:20.10,3
Day 3,Jenson Button,1:20.30,4
Day 3,Mark Webber,1:20.45,5
Day 3,Rubens Barrichello,1:20.60,6
Day 3,Juan Pablo Montoya,1:20.75,7
Day 3,Giancarlo Fisichella,1:20.90,8
Day 3,David Coulthard,1:21.10,9
Day 3,Jarno Trulli,1:21.25,10
Day 3,Nick Heidfeld,1:21.40,11
Day 3,Takuma Sato,1:21.55,12
Day 3,Felipe Massa,1:21.70,13
Day 3,Christian Klien,1:21.85,14
Day 3,Ralf Schumacher,1:22.00,15
Day 3,Heinz-Harald Frentzen,1:22.15,16
